from_id,to_id,mode,intra_or_inter,reason,distance_km,time_base_min,time_min,cost_base_rs,cost_rs,region_from,region_to
MET_Metro,SEC_E_Metro,metro,intra,Blue_Line,1.4973635775716032,4.6952544396288864,6.103830771517552,10.0,10.0,R1,R1
MET_Metro,TAR_Metro,metro,intra,Blue_Line,1.425459667673253,4.565827401811855,5.935575622355413,10.0,10.0,R1,R1
TAR_Metro,MET_Metro,metro,intra,Blue_Line,1.425459667673253,4.565827401811855,5.935575622355413,10.0,10.0,R1,R1
TAR_Metro,HSG_Metro,metro,intra,Blue_Line,1.3792944452755638,4.482730001496015,5.1551395017204165,10.0,10.0,R1,R6
HSG_Metro,TAR_Metro,metro,intra,Blue_Line,1.3792944452755638,4.482730001496015,5.1551395017204165,10.0,10.0,R1,R6
HSG_Metro,NGR_Metro,metro,intra,Blue_Line,0.8551496586342128,3.539269385541583,3.539269385541583,10.0,10.0,R6,R6
NGR_Metro,HSG_Metro,metro,intra,Blue_Line,0.8551496586342128,3.539269385541583,3.539269385541583,10.0,10.0,R6,R6
NGR_Metro,STD_Metro,metro,intra,Blue_Line,1.1780281419197185,4.120450655455493,4.120450655455493,10.0,10.0,R6,R6
STD_Metro,NGR_Metro,metro,intra,Blue_Line,1.1780281419197185,4.120450655455493,4.120450655455493,10.0,10.0,R6,R6
STD_Metro,UPL_Metro,metro,intra,Blue_Line,1.0302321352078312,3.854417843374096,3.854417843374096,10.0,10.0,R6,R6
UPL_Metro,STD_Metro,metro,intra,Blue_Line,1.0302321352078312,3.854417843374096,3.854417843374096,10.0,10.0,R6,R6
UPL_Metro,NAG_Metro,metro,intra,Blue_Line,1.0440026430095375,3.879204757417168,3.879204757417168,10.0,10.0,R6,R6
NAG_Metro,UPL_Metro,metro,intra,Blue_Line,1.0440026430095375,3.879204757417168,3.879204757417168,10.0,10.0,R6,R6
JBS_Metro,SCR_Metro,metro,intra,Green_Line,1.2045093943658012,4.168116909858442,5.418551982815975,10.0,10.0,R1,R1
SCR_Metro,JBS_Metro,metro,intra,Green_Line,1.2045093943658012,4.168116909858442,5.418551982815975,10.0,10.0,R1,R1
SCR_Metro,GNH_Metro,metro,intra,Green_Line,0.9571771322119492,3.722918837981508,4.839794489375961,10.0,10.0,R1,R1
GNH_Metro,SCR_Metro,metro,intra,Green_Line,0.9571771322119492,3.722918837981508,4.839794489375961,10.0,10.0,R1,R1
GNH_Metro,MSH_Metro,metro,intra,Green_Line,0.8885500998977759,3.5993901798159964,4.499237724769996,10.0,10.0,R1,R3
MSH_Metro,GNH_Metro,metro,intra,Green_Line,0.8885500998977759,3.5993901798159964,4.499237724769996,10.0,10.0,R1,R3
MSH_Metro,RTC_Metro,metro,intra,Green_Line,1.239244518423921,4.230640133163058,5.076768159795669,10.0,10.0,R3,R3
RTC_Metro,MSH_Metro,metro,intra,Green_Line,1.239244518423921,4.230640133163058,5.076768159795669,10.0,10.0,R3,R3
RTC_Metro,CDP_Metro,metro,intra,Green_Line,0.7686059004213048,3.383490620758349,4.060188744910018,10.0,10.0,R3,R3
CDP_Metro,RTC_Metro,metro,intra,Green_Line,0.7686059004213048,3.383490620758349,4.060188744910018,10.0,10.0,R3,R3
